epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5962.84,1.06859,0.81563,1.17833,0.60821,0.4824,0.50284,0.30803,1.06485,0.75779,1.17583,0.005842,0.005842,0.005842
44,6615.71,1.06367,0.81661,1.17754,0.60578,0.46838,0.50287,0.31014,1.06916,0.76133,1.18141,0.005743,0.005743,0.005743
45,7269.52,1.05354,0.80061,1.16846,0.58069,0.49633,0.51152,0.31262,1.06674,0.75495,1.178,0.005644,0.005644,0.005644
46,797.279,1.03689,0.77823,1.15888,0.60414,0.48482,0.50447,0.31237,1.06728,0.75636,1.17746,0.005545,0.005545,0.005545
47,1563.2,1.0309,0.77949,1.16166,0.62376,0.47434,0.50936,0.3149,1.0623,0.75368,1.17913,0.005446,0.005446,0.005446
48,2368.03,1.03392,0.77176,1.15532,0.64984,0.47707,0.51847,0.32089,1.05504,0.7413,1.17383,0.005347,0.005347,0.005347
49,3143.42,1.02741,0.77,1.15397,0.65751,0.48995,0.52111,0.31994,1.06229,0.74545,1.1781,0.005248,0.005248,0.005248
50,3947.45,1.02036,0.75781,1.15194,0.61932,0.49758,0.51686,0.31599,1.06746,0.73654,1.1821,0.005149,0.005149,0.005149
51,4742.54,1.0211,0.7589,1.15178,0.65696,0.48359,0.51766,0.3204,1.0607,0.73949,1.17529,0.00505,0.00505,0.00505
52,5531.98,1.01408,0.75258,1.14964,0.62835,0.49138,0.51995,0.32239,1.05747,0.74305,1.17612,0.004951,0.004951,0.004951
53,6348.22,1.01006,0.74598,1.14503,0.65678,0.50394,0.52711,0.32327,1.05651,0.73365,1.17244,0.004852,0.004852,0.004852
54,7134.49,1.01474,0.74594,1.14453,0.64613,0.48573,0.52401,0.32511,1.05929,0.72998,1.17482,0.004753,0.004753,0.004753
55,7944.21,1.00972,0.74414,1.14319,0.61783,0.49125,0.51883,0.32032,1.05383,0.72922,1.16946,0.004654,0.004654,0.004654
56,8737.69,1.00456,0.73652,1.13759,0.65361,0.48783,0.53123,0.32734,1.05264,0.72476,1.16695,0.004555,0.004555,0.004555
57,9522.23,1.02556,0.75896,1.14998,0.64022,0.49263,0.52355,0.32377,1.04939,0.7271,1.16603,0.004456,0.004456,0.004456
58,10339,1.01729,0.75571,1.15061,0.62758,0.5133,0.53207,0.32814,1.04896,0.72601,1.16104,0.004357,0.004357,0.004357
59,11124,1.01948,0.75374,1.147,0.65732,0.50964,0.54176,0.33229,1.04434,0.71818,1.16192,0.004258,0.004258,0.004258
60,11907.3,1.01316,0.74813,1.14224,0.61463,0.53079,0.5402,0.33345,1.04135,0.71276,1.16022,0.004159,0.004159,0.004159
61,12676.6,1.01727,0.74536,1.14514,0.63073,0.50553,0.53771,0.33146,1.04593,0.7184,1.16319,0.00406,0.00406,0.00406
62,13444.7,1.01173,0.74216,1.13999,0.65762,0.51861,0.5431,0.33838,1.04483,0.71401,1.1627,0.003961,0.003961,0.003961
63,14257.8,1.00563,0.73302,1.13979,0.64225,0.52439,0.5428,0.33707,1.04029,0.71132,1.15768,0.003862,0.003862,0.003862
