epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,804.606,3.53824,4.95035,4.25326,0.00437,0.02141,0.00383,0.00105,3.42188,5.00463,4.2904,0.0033251,0.0033251,0.0033251
2,1600.64,3.21764,4.18646,3.76868,0.70203,0.05746,0.03645,0.01254,2.65338,3.55255,3.02338,0.00662548,0.00662548,0.00662548
3,2390.14,2.42091,2.87951,2.63983,0.72236,0.10327,0.09803,0.04457,2.13564,2.48599,2.33907,0.00989285,0.00989285,0.00989285
4,3173.08,2.00665,2.33466,2.14402,0.83092,0.13411,0.15072,0.07758,1.82652,1.93467,1.99368,0.0098515,0.0098515,0.0098515
5,3955.05,1.7953,2.03064,1.91755,0.85344,0.16613,0.18868,0.09845,1.68826,1.73184,1.83426,0.009802,0.009802,0.009802
6,4739.72,1.67757,1.82473,1.78688,0.79649,0.17937,0.20648,0.11054,1.60575,1.62308,1.74141,0.0097525,0.0097525,0.0097525
7,5521.69,1.60735,1.71624,1.71693,0.71973,0.20406,0.22987,0.12674,1.5258,1.49291,1.67165,0.009703,0.009703,0.009703
8,6305.43,1.54922,1.62308,1.66891,0.71858,0.21423,0.24052,0.13437,1.4841,1.43584,1.61303,0.0096535,0.0096535,0.0096535
9,7097.49,1.51994,1.57373,1.63327,0.74023,0.23992,0.25664,0.14639,1.44586,1.36114,1.58437,0.009604,0.009604,0.009604
10,7877.55,1.47384,1.48966,1.59451,0.75613,0.24537,0.26416,0.15325,1.44273,1.33477,1.57487,0.0095545,0.0095545,0.0095545
11,8661.56,1.44725,1.45336,1.57193,0.69822,0.25455,0.27193,0.15641,1.39861,1.29379,1.53939,0.009505,0.009505,0.009505
12,9444.29,1.42889,1.42069,1.55451,0.69124,0.26401,0.28161,0.16295,1.37836,1.25871,1.51802,0.0094555,0.0094555,0.0094555
