epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13144.5,0.99947,0.72195,1.14169,0.70905,0.50987,0.55789,0.35739,1.01066,0.6778,1.14461,0.007921,0.007921,0.007921
44,13956.2,0.99583,0.71705,1.14076,0.65696,0.52682,0.55816,0.35591,1.00759,0.67954,1.14317,0.0078715,0.0078715,0.0078715
45,14777.8,0.98914,0.71156,1.13814,0.659,0.5327,0.56811,0.36657,0.99871,0.67345,1.13586,0.007822,0.007822,0.007822
46,15587.9,0.99203,0.71189,1.13919,0.70126,0.51472,0.57075,0.36365,1.00629,0.67206,1.14201,0.0077725,0.0077725,0.0077725
47,16402.5,0.98301,0.69987,1.1339,0.66958,0.54136,0.57461,0.36715,1.00128,0.6711,1.14053,0.007723,0.007723,0.007723
48,17210.1,0.97825,0.70183,1.13333,0.70098,0.54238,0.58497,0.37566,0.99566,0.66338,1.13752,0.0076735,0.0076735,0.0076735
49,18011.7,0.97702,0.69568,1.1281,0.69328,0.54318,0.57922,0.37109,1.0002,0.66809,1.13928,0.007624,0.007624,0.007624
50,18819.1,0.97549,0.69653,1.13268,0.71649,0.5374,0.5845,0.37248,0.99665,0.66106,1.13579,0.0075745,0.0075745,0.0075745
51,19625.4,0.9718,0.68503,1.1252,0.69664,0.5341,0.58233,0.37346,0.98844,0.65897,1.13369,0.007525,0.007525,0.007525
52,20427.4,0.96991,0.68712,1.12539,0.67885,0.57104,0.59446,0.3813,0.99003,0.65557,1.12891,0.0074755,0.0074755,0.0074755
53,21243.3,0.97196,0.68826,1.12737,0.66677,0.559,0.5778,0.36675,0.9977,0.65677,1.13698,0.007426,0.007426,0.007426
54,22057.8,0.96626,0.67858,1.12271,0.70457,0.55715,0.5948,0.37961,0.99001,0.65085,1.12883,0.0073765,0.0073765,0.0073765
55,22884,0.96461,0.67732,1.12128,0.66856,0.55226,0.58611,0.37689,0.98746,0.65134,1.13023,0.007327,0.007327,0.007327
56,23720.4,0.96285,0.67262,1.12008,0.6905,0.55865,0.58189,0.37343,0.98308,0.64863,1.12609,0.0072775,0.0072775,0.0072775
57,24559.9,0.95505,0.66746,1.1173,0.70882,0.55451,0.59207,0.38157,0.98503,0.64656,1.12485,0.007228,0.007228,0.007228
58,25390.9,0.95662,0.66604,1.11541,0.70665,0.54869,0.5884,0.3812,0.98495,0.64413,1.1279,0.0071785,0.0071785,0.0071785
59,26206.7,0.9486,0.65638,1.11032,0.66996,0.56887,0.59715,0.3837,0.98625,0.64023,1.13023,0.007129,0.007129,0.007129
60,27030.9,0.94807,0.65736,1.1089,0.65948,0.58303,0.60714,0.38751,0.9835,0.63638,1.12528,0.0070795,0.0070795,0.0070795
61,27841.8,0.94705,0.65627,1.10868,0.70198,0.57363,0.60179,0.38845,0.98226,0.63314,1.12412,0.00703,0.00703,0.00703
62,28663.4,0.94523,0.65626,1.10952,0.68501,0.57348,0.60563,0.39006,0.98252,0.63449,1.12721,0.0069805,0.0069805,0.0069805
63,29497.7,0.94348,0.64734,1.10771,0.7014,0.57387,0.61012,0.39316,0.9848,0.6334,1.12837,0.006931,0.006931,0.006931
64,821.53,0.93099,0.63295,1.10146,0.69605,0.56708,0.59778,0.38571,0.97976,0.62638,1.12533,0.0068815,0.0068815,0.0068815
65,1623.72,0.93672,0.64384,1.10409,0.72728,0.54408,0.6063,0.38955,0.98078,0.62543,1.12519,0.006832,0.006832,0.006832
66,2450.38,0.93792,0.64439,1.10528,0.74612,0.55259,0.61062,0.39202,0.97801,0.62563,1.11902,0.0067825,0.0067825,0.0067825
67,3272.9,0.93616,0.6459,1.10122,0.68789,0.57404,0.60684,0.38823,0.9774,0.62394,1.12099,0.006733,0.006733,0.006733
68,4086.17,0.93463,0.63885,1.10338,0.73098,0.56829,0.6117,0.39289,0.97709,0.62121,1.12565,0.0066835,0.0066835,0.0066835
69,4906.76,0.93084,0.63122,1.09823,0.7109,0.56238,0.60627,0.3879,0.97486,0.62042,1.12314,0.006634,0.006634,0.006634
70,5734.93,0.92637,0.6334,1.09743,0.67387,0.58368,0.60476,0.3884,0.97732,0.62124,1.12618,0.0065845,0.0065845,0.0065845
71,6558.02,0.92078,0.6248,1.09576,0.72135,0.566,0.61136,0.39807,0.97983,0.62007,1.12625,0.006535,0.006535,0.006535
72,7387.38,0.9268,0.62954,1.09637,0.7149,0.55861,0.60926,0.39631,0.97944,0.61785,1.12387,0.0064855,0.0064855,0.0064855
73,8221.1,0.91726,0.61634,1.09023,0.70322,0.58077,0.6169,0.40192,0.97448,0.61668,1.12326,0.006436,0.006436,0.006436
74,9060.11,0.91508,0.61828,1.08922,0.73141,0.55631,0.61622,0.39936,0.97222,0.61443,1.11958,0.0063865,0.0063865,0.0063865
75,9903.85,0.91981,0.62041,1.09143,0.71788,0.56039,0.61055,0.39745,0.9735,0.61202,1.11687,0.006337,0.006337,0.006337
76,10747.5,0.91279,0.61425,1.09136,0.71079,0.58732,0.61782,0.40261,0.97168,0.61121,1.11917,0.0062875,0.0062875,0.0062875
77,11587.8,0.91144,0.60598,1.08506,0.69466,0.59271,0.61593,0.40174,0.96742,0.61063,1.11384,0.006238,0.006238,0.006238
78,12434,0.90905,0.61223,1.0851,0.70071,0.56873,0.61276,0.39814,0.96703,0.6084,1.11453,0.0061885,0.0061885,0.0061885
79,13282.1,0.90869,0.60358,1.08129,0.72512,0.57607,0.61926,0.39891,0.97097,0.60943,1.11775,0.006139,0.006139,0.006139
80,14119.4,0.90876,0.60726,1.08523,0.74861,0.56425,0.61924,0.40299,0.97136,0.60788,1.11924,0.0060895,0.0060895,0.0060895
81,823.144,0.8737,0.57052,1.06663,0.77734,0.55555,0.62569,0.40421,0.97056,0.60524,1.11793,0.00604,0.00604,0.00604
82,1558.7,0.88015,0.5789,1.06805,0.7412,0.56046,0.62151,0.40711,0.96815,0.60504,1.11581,0.0059905,0.0059905,0.0059905
83,2306.87,0.88205,0.58135,1.07141,0.73387,0.58222,0.6244,0.40794,0.97119,0.60875,1.12105,0.005941,0.005941,0.005941
84,3052.24,0.88171,0.58317,1.06726,0.72879,0.58685,0.62713,0.40848,0.96982,0.60879,1.12107,0.0058915,0.0058915,0.0058915
85,3801.09,0.8782,0.57851,1.06857,0.72635,0.58439,0.62451,0.40203,0.97359,0.60892,1.12438,0.005842,0.005842,0.005842
86,4545.06,0.87627,0.57195,1.0647,0.71429,0.58917,0.62327,0.40399,0.96851,0.60576,1.12258,0.0057925,0.0057925,0.0057925
