epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14530.3,1.16965,0.99664,1.32385,0.52973,0.39867,0.41333,0.25023,1.14073,0.87327,1.30239,0.0079705,0.0079705,0.0079705
43,15162.9,1.17315,0.99719,1.3239,0.61973,0.39157,0.41737,0.25234,1.1387,0.86937,1.30159,0.007921,0.007921,0.007921
44,15799.2,1.16124,0.98461,1.31964,0.50653,0.39654,0.41504,0.25113,1.13477,0.86147,1.29384,0.0078715,0.0078715,0.0078715
45,16406.9,1.15604,0.97709,1.31074,0.46361,0.41841,0.41882,0.2527,1.13124,0.84994,1.29447,0.007822,0.007822,0.007822
46,17020.8,1.16247,0.97869,1.31485,0.52199,0.40963,0.42898,0.26012,1.12658,0.85427,1.28967,0.0077725,0.0077725,0.0077725
47,17636.5,1.15281,0.965,1.31075,0.5109,0.41318,0.41843,0.25553,1.12423,0.8441,1.28831,0.007723,0.007723,0.007723
48,18265.8,1.14492,0.95768,1.30357,0.46922,0.41965,0.42439,0.26094,1.11371,0.83181,1.28183,0.0076735,0.0076735,0.0076735
49,18906.5,1.13843,0.95076,1.29737,0.51047,0.40722,0.42898,0.26157,1.11681,0.83323,1.27938,0.007624,0.007624,0.007624
50,19514.4,1.13838,0.94663,1.29597,0.60998,0.3834,0.4248,0.26118,1.10923,0.83161,1.27727,0.0075745,0.0075745,0.0075745
51,20143.7,1.13922,0.9472,1.3007,0.52265,0.42654,0.43772,0.26529,1.10747,0.83211,1.27435,0.007525,0.007525,0.007525
52,20756.5,1.13623,0.94513,1.29501,0.53202,0.422,0.43937,0.26738,1.10321,0.82845,1.2677,0.0074755,0.0074755,0.0074755
53,21386.7,1.13149,0.92611,1.29067,0.59388,0.40453,0.43979,0.26791,1.10118,0.81916,1.26998,0.007426,0.007426,0.007426
54,22035.4,1.12812,0.92912,1.28977,0.55354,0.43694,0.45109,0.276,1.10017,0.80959,1.26659,0.0073765,0.0073765,0.0073765
55,22651.3,1.12704,0.92594,1.28691,0.53139,0.42161,0.44751,0.27221,1.09361,0.80967,1.26212,0.007327,0.007327,0.007327
56,23289,1.12423,0.91527,1.28442,0.5967,0.41148,0.45248,0.27581,1.09648,0.80308,1.2635,0.0072775,0.0072775,0.0072775
57,23901.6,1.11942,0.91828,1.28308,0.55779,0.4251,0.45228,0.27636,1.09117,0.79783,1.25852,0.007228,0.007228,0.007228
58,24531.7,1.11636,0.90651,1.2744,0.56295,0.43087,0.45217,0.27801,1.09213,0.79883,1.25877,0.0071785,0.0071785,0.0071785
59,25177.2,1.10667,0.89557,1.27393,0.48896,0.44943,0.45281,0.27822,1.08658,0.79025,1.25411,0.007129,0.007129,0.007129
60,25793.4,1.11014,0.90546,1.2736,0.56738,0.4331,0.45704,0.27752,1.08478,0.78607,1.25203,0.0070795,0.0070795,0.0070795
61,26430.5,1.10895,0.89993,1.27071,0.61694,0.42569,0.46475,0.28407,1.08369,0.78671,1.25359,0.00703,0.00703,0.00703
62,27044.8,1.1032,0.88948,1.26435,0.5497,0.4455,0.46655,0.28654,1.08011,0.78367,1.25054,0.0069805,0.0069805,0.0069805
63,27682.3,1.10465,0.88949,1.26743,0.56411,0.45028,0.46799,0.28571,1.07863,0.78,1.24856,0.006931,0.006931,0.006931
64,28326.8,1.10201,0.88711,1.26837,0.55306,0.46097,0.46618,0.28661,1.07931,0.77429,1.24762,0.0068815,0.0068815,0.0068815
